Pid,Lon,Lat,DisYear1,DisDOY1,DisYear2,DisDOY2
171,-120.9045259,37.06510276,2016,36,0,0
172,-120.6566105,37.85520952,2019,150,0,0
173,-121.6459288,37.30051982,0,0,0,0
174,-120.7125534,37.60371977,2017,118,0,0
175,-121.8125214,37.30865276,0,0,0,0
176,-121.5761132,37.07040775,0,0,0,0
177,-121.8532419,37.57156308,0,0,0,0
178,-121.0441223,37.17405445,0,0,0,0
179,-120.7397762,37.75776874,2018,340,0,0
180,-121.160144,37.419021,2017,309,0,0
181,-121.6763993,37.3198967,0,0,0,0
182,-121.2509845,37.22927966,0,0,0,0
183,-121.1607742,37.62897948,0,0,0,0
184,-121.6294445,37.67738996,0,0,0,0
185,-121.4742266,37.03345841,0,0,0,0
186,-120.9855146,37.3223741,0,0,0,0
187,-121.17394,37.83902054,2016,267,2018,260
188,-121.6926426,37.31983952,0,0,0,0
189,-121.3901247,37.74488937,2016,35,2019,19
190,-121.3824922,37.16909222,0,0,0,0
191,-121.1630643,37.07973885,2017,121,0,0
192,-121.8395907,37.61085385,0,0,0,0
193,-121.1444027,37.79699095,0,0,0,0
194,-120.7237475,37.16958113,0,0,0,0
195,-121.7311405,37.62446902,0,0,0,0
196,-120.9559628,37.67876606,2016,318,0,0
197,-120.6593736,37.72472097,0,0,0,0
198,-121.1039222,37.86169469,2019,123,0,0
199,-120.979381,37.38439274,0,0,0,0
200,-121.4905115,37.53778464,0,0,0,0
201,-121.3051157,37.19443595,0,0,0,0
202,-121.8065905,37.45934496,0,0,0,0
203,-121.3880493,37.55515473,0,0,0,0
204,-121.4104757,37.87371426,0,0,0,0
205,-121.5055117,37.72508873,2015,48,2016,332
206,-120.8595261,37.39019304,0,0,0,0
207,-121.3080788,37.52858632,0,0,0,0
208,-120.8818002,37.03916156,2016,108,0,0
209,-120.8786495,37.87036776,0,0,0,0
210,-121.5157443,37.49903402,0,0,0,0
211,-121.7823618,37.40926641,0,0,0,0
212,-121.7924592,37.8067499,2016,163,2017,237
213,-121.0803731,37.39686577,2017,126,2019,200
214,-121.3501332,37.08950945,0,0,0,0
215,-120.7397824,37.7283153,2016,166,0,0
216,-121.3435362,37.78008517,0,0,0,0
217,-121.6682347,37.87694304,0,0,0,0
